Name(Chinese),Name(English),Location(Chinese),Location(English),AdditionalInfo
樂和街,Lok Wo Street,粉嶺,Fanling,None
洛陽街,Lok Yeung Street,香港仔,Aberdeen,chi-place
樂怡街,Lok Yi Street,大欖、屯門,"Tai Lam, Tuen Mun",None
樂業路,Lok Yip Road,粉嶺,Fanling,None
樂園徑,Lok Yuen Path,沙田,Sha Tin,None
露明道,Lomond Road,九龍城,Kowloon City,british-p
倫敦里,London Lane,鴨脷洲,Ap Lei Chau,british-p
朗暉路,Long Fai Road,錦田,Kam Tin,None
朗河路,Long Ho Road,元朗,Yuen Long,None
朗漢路,Long Hon Road,屏山,Ping Shan,None
朗樂路,Long Lok Road,元朗,Yuen Long,None
朗明街,Long Ming Street,元朗,Yuen Long,None
朗屏路,Long Ping Road,元朗,Yuen Long,None
朗成路,Long Shing Road,錦田,Kam Tin,None
朗天路,Long Tin Road,天水圍,Tin Shui Wai,None
朗和路,Long Wo Road,元朗,Yuen Long,None
朗欣路,Long Yan Road,大嶼山,Lantau Island,None
朗日路,Long Yat Road,元朗,Yuen Long,astronomical
朗業街,Long Yip Street,元朗,Yuen Long,None
朗月街,Long Yuet Street,土瓜灣,To Kwa Wan,astronomical
瞭望里,Lookout Link,大埔,Tai Po,None
荷花徑,Lotus Path,元朗,Yuen Long,None
紅荷路,Lotus Road,元朗,Yuen Long,None
下亞厘畢道,Lower Albert Road,中環,Central,royal
摩羅下街,Lower Lascar Row,上環,Sheung Wan,None
下城門道,Lower Shing Mun Road,大圍,Tai Wai,None
盧押道,Luard Road,灣仔,Wan Chai,officer
聯昌街,Luen Cheong Street,粉嶺,Fanling,None
聯捷街,Luen Chit Street,粉嶺,Fanling,None
聯發街,Luen Fat Street,粉嶺,Fanling,None
聯富街,Luen Fu Street,粉嶺,Fanling,None
聯興街,Luen Hing Street,粉嶺,Fanling,None
聯康里,Luen Hong Lane,小欖,Siu Lam,None
聯安街,Luen On Street,粉嶺,Fanling,None
聯安街,Luen On Street,觀塘,Kwun Tong,None
聯盛街,Luen Shing Street,粉嶺,Fanling,None
聯泰街,Luen Tai Street,小欖,Siu Lam,None
聯運街,Luen Wan Street,旺角,Mong Kok,None
聯和道,Luen Wo Road,粉嶺,Fanling,None
聯仁街,Luen Yan Street,荃灣,Tsuen Wan,None
聯益街,Luen Yick Street,粉嶺,Fanling,None
盧吉道,Lugard Road,山頂,The Peak,governor
雷鳴路,Lui Ming Road,粉嶺,Fanling,None
鹿祥路,Luk Cheung Road,西貢,Sai Kung,None
陸鄉里,Luk Heung Lane,大埔,Tai Po,None
六合街,Luk Hop Street,新蒲崗,San Po Kong,None
鹿頸路,Luk Keng Road,沙頭角,Sha Tau Kok,None
綠柳路,Luk Lau Avenue,牛池灣,Ngau Chi Wan,None
鹿尾里,Luk Mei Lane,西貢,Sai Kung,None
鹿尾村路,Luk Mei Tsuen Road,西貢,Sai Kung,None
鹿鳴街,Luk Ming Street,土瓜灣,To Kwa Wan,None
鹿苑街,Luk Yuen Street,屯門,Tuen Mun,None
麟祥街,Lun Cheung Street,土瓜灣,To Kwa Wan,None
聯發街,Lun Fat Street,灣仔,Wan Chai,None
聯興街,Lun Hing Street,粉嶺,Fanling,None
龍澤路,Lung Chak Road,屯門,Tuen Mun,None
龍翔道,Lung Cheung Road,黃大仙、九龍塘,"Wong Tai Sin, Kowloon Tong",None
龍池徑,Lung Chi Path,牛池灣,Ngau Chi Wan,None
龍珠街,Lung Chu Street,九龍塘,Kowloon Tong,None
龍輝街,Lung Fai Street,屯門,Tuen Mun,None
龍發街,Lung Fat Street,屯門,Tuen Mun,None
龍富路,Lung Fu Road,屯門,Tuen Mun,None
龍鳳街,Lung Fung Street,黃大仙,Wong Tai Sin,None
龍蝦灣路,Lung Ha Wan Road,清水灣,Clear Water Bay,None
龍康街,Lung Hong Street,屯門,Tuen Mun,None
龍景街,Lung King Street,灣仔,Wan Chai,None
龍崗道,Lung Kong Road,九龍城,Kowloon City,None
龍鼓灘路,Lung Kwu Tan Road,屯門,Tuen Mun,None
龍馬路,Lung Ma Road,粉嶺,Fanling,None
龍尾村路,Lung Mei Tsuen Road,西貢,Sai Kung,None
龍門路,Lung Mun Road,屯門,Tuen Mun,None
隆安街,Lung On Street,灣仔,Wan Chai,None
龍柏街,Lung Pak Street,大圍,Tai Wai,None
龍坪道,Lung Ping Road,九龍塘,Kowloon Tong,None
龍蟠街,Lung Poon Street,鑽石山,Diamond Hill,None
龍盛街,Lung Shing Street,大澳,Tai O,None
龍琛路,Lung Sum Avenue,上水,Sheung Shui,None
龍琛里,Lung Sum Lane,上水,Sheung Shui,None
隆德街,Lung Tak Street,土瓜灣,To Kwa Wan,None
龍德街,Lung Tak Street,荃灣,Tsuen Wan,None
龍騰路,Lung Tang Road,荃灣,Tsuen Wan,None
龍田街,Lung Tin Street,大澳,Tai O,None
龍圖街,Lung To Street,土瓜灣,To Kwa Wan,None
龍仔村路,Lung Tsai Tsuen Road,長洲,Cheung Chau,None
龍華街,Lung Wah Street,堅尼地城,Kennedy Town,None
龍運街,Lung Wan Street,上水,Sheung Shui,None
龍和道,Lung Wo Road,中環,Central,None
龍匯道,Lung Wui Road,金鐘,Admiralty,None
龍欣道,Lung Yan Road,九龍塘,Kowloon Tong,None
龍涎道,Lung Yin Road,橫頭磡,Wang Tau Hom,None
龍耀街,Lung Yiu Street,屯門,Tuen Mun,None
龍如路,Lung Yue Road,荃灣,Tsuen Wan,None
荔枝里,Lychee Lane,元朗,Yuen Long,None
荔枝東路,Lychee Road East,元朗,Yuen Long,None
荔枝北路,Lychee Road North,元朗,Yuen Long,None
荔枝南路,Lychee Road South,元朗,Yuen Long,None
荔枝西路,Lychee Road West,元朗,Yuen Long,None
擺花街,Lyndhurst Terrace,中環,Central,officials
列堤頓道,Lyttelton Road,半山區,Mid-levels,british-o
馬仔坑道,Ma Chai Hang Road,黃大仙,Wong Tai Sin,None
馬聰路,Ma Chung Road,大埔,Tai Po,None
孖峰嶺路,Ma Fung Ling Road,元朗,Yuen Long,None
馬坑涌道,Ma Hang Chung Road,土瓜灣,To Kwa Wan,None
馬錦街,Ma Kam Street,馬鞍山,Ma On Shan,None
馬角里,Ma Kok Lane,荃灣,Tsuen Wan,None
馬角街,Ma Kok Street,荃灣,Tsuen Wan,None
馬鈴徑,Ma Ling Path,沙田,Sha Tin,None
馬樂徑,Ma Lok Path,沙田,Sha Tin,None
媽廟路,Ma Miu Road,元朗,Yuen Long,None
馬鞍徑,Ma On Path,沙田,Sha Tin,None
馬鞍山繞道,Ma On Shan Bypass,馬鞍山,Ma On Shan,None
馬鞍山路,Ma On Shan Road,馬鞍山,Ma On Shan,None
馬鞍山村路,Ma On Shan Tsuen Road,馬鞍山,Ma On Shan,None
麻埔坪道,Ma Po Ping Road,塘福,Tong Fuk,None
馬成徑,Ma Shing Path,大埔,Tai Po,None
馬適路,Ma Sik Road,上水、粉嶺,"Sheung Shui, Fanling",None
馬閃排路,Ma Sim Pai Road,荃灣,Tsuen Wan,None
馬頭涌道,Ma Tau Chung Road,土瓜灣,To Kwa Wan,None
馬頭角道,Ma Tau Kok Road,土瓜灣,To Kwa Wan,None
馬頭壩道,Ma Tau Pa Road,荃灣,Tsuen Wan,None
馬頭圍道,Ma Tau Wai Road,紅磡、土瓜灣,"Hung Hom, To Kwa Wan",None
馬田路,Ma Tin Road,元朗,Yuen Long,None
馬棠路,Ma Tong Road,元朗,Yuen Long,None
馬草壟路,Ma Tso Lung Road,上水,Sheung Shui,None
馬灣大街,Ma Wan Main Street,馬灣,Ma Wan,None
馬灣路,Ma Wan Road,馬灣,Ma Wan,None
馬灣鄉事會路,Ma Wan Rural Committee Road,馬灣,Ma Wan,None
媽橫路,Ma Wang Road,元朗,Yuen Long,None
馬窩路,Ma Wo Road,大埔,Tai Po,None
馬游塘路,Ma Yau Tong Road,將軍澳,Tseung Kwan O,None
馬鞅徑,Ma Yeung Path,沙田,Sha Tin,None
馬影徑,Ma Ying Path,沙田,Sha Tin,None
麥當勞道,MacDonnell Road,半山區,Mid-levels,governor
馬己仙峽道,Magazine Gap Road,半山區、山頂,"Mid-levels, The Peak",None
神奇道,Magic Road,愉景灣,Discovery Bay,None
玉蘭徑,Magnolia Path,元朗,Yuen Long,None
玉蘭路,Magnolia Road,又一村,Yau Yat Chuen,None
米埔隴路,Mai Po Lung Road,元朗,Yuen Long,None
米埔路,Mai Po Road,新田,San Tin,None
美善同里,Maidstone Lane,土瓜灣,To Kwa Wan,british-p
美善同道,Maidstone Road,土瓜灣,To Kwa Wan,british-p
鴨脷洲大街,Ap Lei Chau Main Street,鴨脷洲,Ap Lei Chau,None
金粟徑,Maize Path,元朗,Yuen Long,None
麥園圍路,Mak Yuen Wai Road,藍地,Lam Tei,None
馬來街,Malacca Street,紅磡,Hung Hom,None
茂蘿街,Mallory Street,灣仔,Wan Chai,None
文質路,Man Chat Road,藍地,Lam Tei,None
文昌街,Man Cheong Street,油麻地,Yau Ma Tei,None
民祥街,Man Cheung Street,中環,Central,None
民照街,Man Chiu Street,中環,Central,None
民輝街,Man Fai Street,中環,Central,None
文發街,Man Fat Street,長沙灣,Cheung Sha Wan,None
文福道,Man Fuk Road,何文田,Ho Man Tin,None
民豐徑,Man Fung Path,何文田,Ho Man Tin,None
文恆街,Man Hang Street,火炭,Fo Tan,None
文興里,Man Hing Lane,上環,Sheung Wan,None
民康街,Man Hong Street,北角,North Point,None
民合徑,Man Hop Path,元朗,Yuen Long,None
文錦渡路,Man Kam To Road,上水,Sheung Shui,None
民吉街,Man Kat Street,上環,Sheung Wan,None
文曲里,Man Kuk Lane,將軍澳,Tseung Kwan O,None
民光街,Man Kwong Street,中環,Central,None
文禮路,Man Lai Road,大圍,Tai Wai,None
文林路,Man Lam Road,大圍,Tai Wai,None
民樂街,Man Lok Street,紅磡,Hung Hom,None
文明里,Man Ming Lane,油麻地,Yau Ma Tei,None
萬年街,Man Nin Street,西貢,Sai Kung,None
萬安街,Man On Street,大角咀,Tai Kok Tsui,None
民寶街,Man Po Street,中環,Central,None
民生街,Man Shang Street,上水,Sheung Shui,None
文社里,Man She Lane,上環,Sheung Wan,None
文順巷,Man Shun Lane,長洲,Cheung Chau,None
文成街,Man Sing Street,油麻地,Yau Ma Tei,None
民兆街,Man Siu Street,紅磡,Hung Hom,None
民泰街,Man Tai Street,紅磡,Hung Hom,None
民德路,Man Tak Road,天水圍,Tin Shui Wai,None
文東路,Man Tung Road,東涌,Tung Chung,None
文華里,Man Wa Lane,上環,Sheung Wan,None
文蔚街,Man Wai Street,油麻地,Yau Ma Tei,None
文運道,Man Wan Road,何文田,Ho Man Tin,None
文匯街,Man Wui Street,油麻地,Yau Ma Tei,None
萬宜里,Man Yee Lane,中環,Central,None
文英街,Man Ying Street,油麻地,Yau Ma Tei,None
民耀街,Man Yiu Street,中環,Central,None
民裕街,Man Yue Street,紅磡,Hung Hom,None
文苑街,Man Yuen Street,油麻地,Yau Ma Tei,None
孟公屋路,Mang Kung Uk Road,清水灣,Clear Water Bay,None
孟公窩路,Mang Kung Wo Road,西貢,Sai Kung,None
文輝道,Mansfield Road,山頂,The Peak,None
民新街,Mansion Street,鰂魚涌、北角,"Quarry Bay, North Point",None
碧豪苑第一街,Maple Gardens 1st Street,新田,San Tin,None
碧豪苑第二街,Maple Gardens 2nd Street,新田,San Tin,None
碧豪苑第三街,Maple Gardens 3rd Street,新田,San Tin,None
碧豪苑第四街,Maple Gardens 4th Street,新田,San Tin,None
碧豪苑第五街,Maple Gardens 5th Street,新田,San Tin,None
碧豪苑第六街,Maple Gardens 6th Street,新田,San Tin,None
碧豪苑第七街,Maple Gardens 7th Street,新田,San Tin,None
楓樹街,Maple Street,深水埗、大角咀,"Sham Shui Po, Tai Kok Tsui",None
馬寶道,Marble Road,北角,North Point,None
馬可尼道,Marconi Road,九龍塘,Kowloon Tong,None
銀菊徑,Marigold Path,元朗,Yuen Long,None
壽菊路,Marigold Road,又一村,Yau Yat Chuen,None
麥蘭徑,Marin Avenue,元朗,Yuen Long,california
遊艇徑,Marina Drive,愉景灣,Discovery Bay,None
街市街,Market Street,油麻地,Yau Ma Tei,None
沙頭角街市街,Sha Tau Kok Market Street,沙頭角,Sha Tau Kok,None
馬師道,Marsh Road,灣仔,Wan Chai,officials
孖庶街,Marsh Street,紅磡,Hung Hom,officials
美臣里,Mason's Lane,中環,Central,None
勿地臣街,Matheson Street,銅鑼灣,Causeway Bay,None
茂林街,Mau Lam Street,油麻地,Yau Ma Tei,None
茅莆路,Mau Po Road,清水灣,Clear Water Bay,None
貿泰路,Mau Tai Road,將軍澳,Tseung Kwan O,None
牡丹街,Mau Tan Street,元朗,Yuen Long,None
茂田里,Mau Tin Lane,西貢,Sai Kung,None
貿業路,Mau Yip Road,將軍澳,Tseung Kwan O,None
梅道,May Road,半山區、山頂,"Mid-levels, The Peak","governor,singlecn"
麥加力歌街,McGregor Street,灣仔,Wan Chai,None
美輪街,Mee Lun Street,中環,Central,None
美青路,Mei Ching Road,荔枝角,Lai Chi Kok,None
美輝街,Mei Fai Street,大圍,Tai Wai,None
美芳街,Mei Fong Street,葵涌,Kwai Chung,None
美福街,Mei Fuk Street,西貢,Sai Kung,None
美景街,Mei King Street,土瓜灣,To Kwa Wan,None
美光街,Mei Kwong Street,土瓜灣,To Kwa Wan,None
美荔道,Mei Lai Road,荔枝角,Lai Chi Kok,None
美樂里,Mei Lok Lane,屯門,Tuen Mun,None
美滿里,Mei Mun Lane,大圍,Tai Wai,None
美安街,Mei On Street,大角咀,Tai Kok Tsui,None
美新里,Mei Sun Lane,大埔,Tai Po,None
美德街,Mei Tak Street,西貢,Sai Kung,None
美田路,Mei Tin Road,大圍、沙田,"Tai Wai, Sha Tin",None
美東街,Mei Tung Street,東涌,Tung Chung,None
美華街,Mei Wa Street,土瓜灣,To Kwa Wan,None
美環街,Mei Wan Street,荃灣,Tsuen Wan,None
美禾圍,Mei Wo Circuit,沙田,Sha Tin,None
美湖路,Mei Wu Road,大埔,Tai Po,None
美裕街,Mei Yu Street,西貢,Sai Kung,None
美源街,Mei Yuen Street,西貢,Sai Kung,None
米路斯徑,Melrose Avenue,元朗,Yuen Long,california
孖沙街,Mercer Street,上環,Sheung Wan,officials
水星街,Mercury Street,北角,North Point,astronomical
麥連街,Merlin Street,北角,North Point,None
都會道,Metropolis Drive,紅磡,Hung Hom,None
米蘭徑,Michelia Path,元朗,Yuen Long,None
中峽道,Middle Gap Road,山頂,The Peak,None
半山路,Middle Hill Road,長洲,Cheung Chau,None
畔山徑,Middle Lane,愉景灣,Discovery Bay,None
中間道,Middle Road,尖沙咀,Tsim Sha Tsui,None
米度適道,Middlesex Road,八鄉、石崗,"Pat Heung, Shek Kong",british-p
苗鍾徑,Mills and Chung Path,深水灣,Deep Water Bay,None
綿發街,Min Fat Street,跑馬地,Happy Valley,None
麵房里,Min Fong Lane,火炭,Fo Tan,None
麵房街,Min Fong Street,火炭,Fo Tan,None
閩街,Min Street,油麻地,Yau Ma Tei,"singlecn,chi-place"
棉登徑,Minden Avenue,尖沙咀,Tsim Sha Tsui,None
緬甸台,Minden Row,尖沙咀,Tsim Sha Tsui,None
明智街,Ming Chi Street,觀塘,Kwun Tong,None
明暉路,Ming Fai Road,長洲,Cheung Chau,None
鳴鳳街,Ming Fung Street,黃大仙,Wong Tai Sin,None
鳴琴路,Ming Kum Road,屯門,Tuen Mun,None
明倫街,Ming Lun Street,土瓜灣,To Kwa Wan,None
明藝街,Ming Ngai Street,屯門,Tuen Mun,None
明安街,Ming On Street,紅磡,Hung Hom,None
名成街,Ming Shing Street,將軍澳,Tseung Kwan O,None
明趣街,Ming Tsui Street,柴灣,Chai Wan,None
明遠里,Ming Un Lane,筲箕灣,Shau Kei Wan,None
明仁里,Ming Yan Lane,灣仔,Wan Chai,None
銘賢路,Ming Yin Road,粉嶺,Fanling,None
明園西街,Ming Yuen Western Street,北角,North Point,None
永愛道,Misereor Road,深水埗、石硤尾,"Sham Shui Po, Shek Kip Mei",None
妙鏡台,Miu Kang Terrace,灣仔,Wan Chai,None
廟崗街,Miu Kong Street,荃灣,Tsuen Wan,None
廟東街,Miu Tung Street,筲箕灣,Shau Kei Wan,None
武英路,Mo Ying Road,西貢,Sai Kung,None
模範里,Model Lane,北角,North Point,None
麼地里,Mody Lane,尖沙咀,Tsim Sha Tsui,None
麼地道,Mody Road,尖沙咀,Tsim Sha Tsui,None
麼地廣場,Mody Square,尖沙咀,Tsim Sha Tsui,None
木廠街,Mok Cheong Street,土瓜灣,To Kwa Wan,None
莫遮輋路,Mok Tse Che Road,秀茂坪、西貢,"Sau Mau Ping, Sai Kung",None
望發街,Mong Fat Street,屯門,Tuen Mun,None
旺角道,Mong Kok Road,旺角,Mong Kok,None
望隆街,Mong Lung Street,筲箕灣,Shau Kei Wan,None
望達街,Mong Tat Street,屯門,Tuen Mun,None
望榮街,Mong Wing Street,屯門,Tuen Mun,None
萬茂里,Monmouth Path,金鐘,Admiralty,british-p
萬茂台,Monmouth Terrace,灣仔,Wan Chai,british-p
綠怡徑,Monte Path,沙田,Sha Tin,None
蒙特萊徑,Monterey Avenue,元朗,Yuen Long,california
月街,Moon Street,灣仔,Wan Chai,"astronomical,singlecn"
睦誠徑,Moorsom Drive,銅鑼灣,Causeway Bay,None
睦誠道,Moorsom Road,銅鑼灣,Causeway Bay,None
慕禮道,Moray Road,九龍塘,Kowloon Tong,british-p
摩頓台,Moreton Terrace,銅鑼灣,Causeway Bay,None
摩理臣山道,Morrison Hill Road,灣仔,Wan Chai,None
摩利臣街,Morrison Street,上環,Sheung Wan,None
摩羅廟交加街,Mosque Junction,半山區,Mid-levels,None
摩羅廟街,Mosque Street,半山區,Mid-levels,None
柯士甸山道,Mount Austin Road,山頂,The Peak,officials
畢拉山徑,Mount Butler Drive,銅鑼灣,Causeway Bay,None
畢拉山道,Mount Butler Road,銅鑼灣,Causeway Bay,None
金馬麟山道,Mount Cameron Road,山頂,The Peak,None
摩星嶺徑,Mount Davis Path,薄扶林,Pok Fu Lam,governor
摩星嶺道,Mount Davis Road,薄扶林,Pok Fu Lam,governor
加列山道,Mount Kellett Road,山頂,The Peak,officials
聶歌信山道,Mount Nicholson Road,半山區,Mid-levels,None
柏架山道,Mount Parker Road,鰂魚涌,Quarry Bay,officer
萬事達廣場,Mount Sterling Mall,荔枝角,Lai Chi Kok,None
梅芳街,Mui Fong Street,西營盤,Sai Ying Pun,None
梅馨街,Mui Hing Street,跑馬地,Happy Valley,None
梅樹坑路,Mui Shu Hang Road,大埔,Tai Po,None
梅子林路,Mui Tsz Lam Road,小瀝源,Siu Lek Yuen,None
梅窩涌口街,Mui Wo Chung Hau Street,梅窩,Mui Wo,None
梅窩碼頭路,Mui Wo Ferry Pier Road,梅窩,Mui Wo,None
梅窩鄉事會路,Mui Wo Rural Committee Road,梅窩,Mui Wo,None
沐翠街,Muk Chui Street,牛池灣、新蒲崗,"Ngau Chi Wan, San Po Kong",None
沐縉街,Muk Chun Street,九龍城,Kowloon City,None
沐虹街,Muk Hung Street,牛池灣、新蒲崗,"Ngau Chi Wan, San Po Kong",None
睦鄰街,Muk Lun Street,黃大仙,Wong Tai Sin,None
木棉山路,Muk Min Shan Road,西貢,Sai Kung,None
沐寧街,Muk Ning Street,新蒲崗、九龍城,"San Po Kong, Kowloon City",None
沐安街,Muk On Street,新蒲崗、牛池灣,"San Po Kong, Ngau Chi Wan",None
門發里,Mun Fat Lane,屯門,Tuen Mun,None
美利道,Murray Road,金鐘,Admiralty,officer
物華街,Mut Wah Street,觀塘,Kwun Tong,None
南昌街,Nam Cheong Street,深水埗、石硤尾,"Sham Shui Po, Shek Kip Mei",chi-place
南風徑,Nam Fung Path,黃竹坑,Wong Chuk Hang,None
南風道,Nam Fung Road,黃竹坑、深水灣,"Wong Chuk Hang, Deep Water Bay",None
南坑村路,Nam Hang Tsuen Road,大棠,Tai Tong,None
南慶東路,Nam Hing East Road,八鄉、石崗,"Pat Heung, Shek Kong",None
南慶西路,Nam Hing West Road,石崗、八鄉,"Shek Kong, Pat Heung",None
南康街,Nam Hong Street,筲箕灣,Shau Kei Wan,None
南角道,Nam Kok Road,九龍城,Kowloon City,None
南朗山道,Nam Long Shan Road,黃竹坑,Wong Chuk Hang,None
南寧街,Nam Ning Street,香港仔,Aberdeen,chi-place
南安里,Nam On Lane,筲箕灣,Shau Kei Wan,None
南安街,Nam On Street,筲箕灣,Shau Kei Wan,None
南邊圍路,Nam Pin Wai Road,西貢,Sai Kung,None
南生圍路,Nam Sang Wai Road,元朗,Yuen Long,None
南山邨道,Nam Shan Chuen Road,石硤尾,Shek Kip Mei,None
南山里,Nam Shan Lane,西貢,Sai Kung,None
南山路,Nam Shan Road,坪洲,Peng Chau,None
南山新村路,Nam Shan San Tsuen Road,西貢,Sai Kung,None
南盛街,Nam Shing Street,大埔,Tai Po,None
南氹灣路,Nam Tam Wan Road,長洲,Cheung Chau,None
南頭街,Nam Tau Street,旺角,Mong Kok,None
南圍路,Nam Wai Road,西貢,Sai Kung,None
南運路,Nam Wan Road,大埔,Tai Po,None
南京街,Nanking Street,油麻地,Yau Ma Tei,chi-place
納柏徑,Napa Avenue,元朗,Yuen Long,california
水仙徑,Narcissus Path,元朗,Yuen Long,None
蘭秀道,Nassau Street,荔枝角,Lai Chi Kok,None
彌敦道,Nathan Road,油麻地、旺角、尖沙咀,"Yau Ma Tei, Mong Kok, Tsim Sha Tsui",governor
禮信街,Nation Street,北角,North Point,None
奶路臣街,Nelson Street,旺角,Mong Kok,officer
新清水灣道,New Clear Water Bay Road,牛池灣,Ngau Chi Wan,None
新東方台,New Eastern Terrace,北角,North Point,None
新西貢公路,New Hiram's Highway,西貢、秀茂坪,"Sai Kung, Sau Mau Ping",officer
新街市街,New Market Street,上環,Sheung Wan,None
堅彌地城新海旁,New Praya Kennedy Town,堅尼地城,Kennedy Town,governor
新街,New Street,上環,Sheung Wan,singlecn
五洲路,Ng Chow Road,坪輋,Ping Che,None
五洲南路,Ng Chow South Road,坪輋,Ping Che,None
五芳街,Ng Fong Street,新蒲崗,San Po Kong,None
五福里,Ng Fuk Lane,西營盤,Sai Ying Pun,None
五桂坊,Ng Kwai Fong,上環,Sheung Wan,None
五柳路,Ng Lau Road,藍地,Lam Tei,None
五和路,Ng Wo Road,元朗,Yuen Long,None
雅翔道,Nga Cheung Road,油麻地,Yau Ma Tei,None
雅竹街,Nga Chuk Street,黃大仙,Wong Tai Sin,None
衙前塱道,Nga Tsin Long Road,九龍城,Kowloon City,None
衙前圍道,Nga Tsin Wai Road,九龍城,Kowloon City,None
雅運路,Nga Wan Road,大埔,Tai Po,None
牙鷹洲街,Nga Ying Chau Street,青衣,Tsing Yi,None
銀池徑,Ngan Chi Path,牛池灣,Ngau Chi Wan,None
銀竹里,Ngan Chuk Lane,黃大仙,Wong Tai Sin,None
銀鳳街,Ngan Fung Street,黃大仙,Wong Tai Sin,None
銀河徑,Ngan Ho Path,牛池灣,Ngau Chi Wan,None
銀漢街,Ngan Hon Street,紅磡,Hung Hom,None
銀礦灣路,Ngan Kwong Wan Road,梅窩,Mui Wo,None
銀幕街,Ngan Mok Street,北角,North Point,None
銀澳路,Ngan O Road,將軍澳,Tseung Kwan O,None
銀石街,Ngan Shek Street,梅窩,Mui Wo,None
銀城街,Ngan Shing Street,沙田,Sha Tin,None
銀樹街,Ngan Shu Street,梅窩,Mui Wo,None
銀運路,Ngan Wan Road,梅窩,Mui Wo,None
銀影路,Ngan Ying Road,將軍澳,Tseung Kwan O,None
銀月里,Ngan Yuet Lane,觀塘,Kwun Tong,None
牛池灣街,Ngau Chi Wan Street,牛池灣,Ngau Chi Wan,None
牛牯嶺徑,Ngau Kwu Leng Path,林村,Lam Tsuen,None
牛皮沙街,Ngau Pei Sha Street,沙田,Sha Tin,None
牛潭尾路,Ngau Tam Mei Road,元朗,Yuen Long,None
牛頭角道,Ngau Tau Kok Road,牛頭角、觀塘,"Ngau Tau Kok, Kwun Tong",None
牛湖托街,Ngau Wu Tok Street,火炭,Fo Tan,None
翱翔道,Ngo Cheung Road,油麻地、大角咀,"Yau Ma Tei, Tai Kok Tsui",None
愛民街,Ngoi Man Street,筲箕灣,Shau Kei Wan,None
昂磡路,Ngong Hom Road,葵涌,Kwai Chung,None
昂平路,Ngong Ping Road,昂坪,Ngong Ping,None
昂船路,Ngong Shung Road,荔枝角,Lai Chi Kok,None
昂運路,Ngong Wan Road,荔枝角,Lai Chi Kok,None
南丁格爾路,Nightingale Road,油麻地,Yau Ma Tei,None
稔灣徑,Nim Wan Path,流浮山、屯門,"Lau Fau Shan, Tuen Mun",None
稔灣路,Nim Wan Road,屯門,Tuen Mun,None
年春街,Nin Chun Street,西貢,Sai Kung,None
年豐路,Nin Fung Road,馬鞍山,Ma On Shan,None
年明路,Nin Ming Road,西貢,Sai Kung,None
年華路,Nin Wah Road,馬鞍山,Ma On Shan,None
寧富街,Ning Foo Street,柴灣,Chai Wan,None
寧波街,Ning Po Street,油麻地,Yau Ma Tei,chi-place
寧泰路,Ning Tai Road,馬鞍山,Ma On Shan,None
寧華街,Ning Wah Street,慈雲山,Tsz Wan Shan,None
寧遠街,Ning Yuen Street,新蒲崗,San Po Kong,None
羅福道,Norfolk Road,九龍塘,Kowloon Tong,british-p
北大嶼山公路,North Lantau Highway,愉景灣,Discovery Bay,None
北環路,North Perimeter Road,赤鱲角,Chek Lap Kok,None
